From (2016):,To (Edition 3):
106021115 Maitland - East,106021614 East Maitland - Metford
,106021617 Tenambit - East Maitland
106021118 Thornton - Millers Forest,106021618 Thornton - Millers Forest
115011559 Kellyville,115011621 Kellyville - East
,115011622 Kellyville - West
115041302 Rouse Hill - Beaumont Hills,115041623 Box Hill - Nelson
,115041624 North Kellyville
,115041625 Rouse Hill - Beaumont Hills
116011308 Seven Hills - Toongabbie,116011626 Seven Hills - Prospect
,116011627 Toongabbie - West
123021440 Ingleburn - Denham Court,123021703 Denham Court - Bardia
,123021705 Ingleburn
125031482 Greystanes - Pemulwuy,125031713 Greystanes - South
,125031715 Pemulwuy - Greystanes (North)
127011506 Cobbitty - Leppington,127011726 Cobbitty - Bringelly
,127011727 Gledswood Hills - Gregory Hills
,127011728 Leppington - Catherine Field
,127011729 Oran Park
127031600 Prestons - Edmondson Park,127031730 Edmondson Park
,127031733 Prestons
206041126 Southbank,206041507 Royal Botanic Gardens Victoria
,206041508 Southbank (West) - South Wharf
,206041509 Southbank - East
206051131 Port Melbourne Industrial,206051511 Port Melbourne Industrial
206051132 South Melbourne,206051512 South Melbourne
210051444 Craigieburn - West,210051542 Craigieburn - North West
,210051543 Craigieburn - West
212011287 Beaconsfield - Officer,212011546 Beaconsfield - Officer
212011288 Bunyip - Garfield,212011547 Bunyip - Garfield
212011290 Koo Wee Rup,212011548 Koo Wee Rup
212011291 Pakenham - North,212011549 Pakenham - North East
,212011550 Pakenham - North West
,212011551 Pakenham - South East
,212011552 Pakenham - South West
309071257 Pimpama,309071554 Pimpama - North
,309071555 Pimpama - South
309071258 Upper Coomera - Willow Vale,309071556 Upper Coomera (South) - Wongawallan
,309071557 Upper Coomera - North
,309071558 Willow Vale - Pimpama (West)
316021420 Caloundra - West,316021580 Caloundra West - Baringa
,316021581 Meridan Plains - Little Mountain (North)
