SA2_5DIG16,shortest_time_sec,shortest_time_min
11007,1143.589117043121,20.0
11008,374.55953792185795,7.0
11009,202.83563991523084,4.0
11010,272.3847457627118,5.0
11011,1693.4386208937556,29.0
11012,595.7134151167393,10.0
11013,716.4720465890183,12.0
11014,235.15194882475453,4.0
11015,2174.052518203883,37.0
11016,3323.930344033396,56.0
11017,437.36019906928647,8.0
11018,588.1851522079172,10.0
11019,547.1833114636765,10.0
11020,1695.3505125284737,29.0
11021,577.5414877532507,10.0
11022,5796.757692307693,97.0
11023,1131.6105834885166,19.0
11024,1221.9866342648845,21.0
11025,657.5106837204928,11.0
11026,732.5419310344828,13.0
11027,2603.659948723665,44.0
11028,944.9725458025705,16.0
11029,752.7339592675636,13.0
11030,1769.7751923076924,30.0
11031,303.75825388861017,6.0
11032,261.4034367364283,5.0
11033,586.9288228822883,10.0
11034,720.9709562354234,13.0
11035,408.32833031946956,7.0
11036,609.7236569861647,11.0
11037,470.6713484945548,8.0
11038,707.4901061084026,12.0
11039,480.84458030155275,9.0
11040,309.56536994660564,6.0
11041,505.8398999693784,9.0
11042,171.05992125984253,3.0
11043,346.46699956197983,6.0
11044,274.1494949035311,5.0
11045,643.5264018903936,11.0
11046,881.7058063827517,15.0
11047,302.5557531925984,6.0
11048,325.8725128994297,6.0
11049,1439.7124666073018,24.0
11050,1110.081549781131,19.0
11051,818.3864337101747,14.0
11052,1478.85625,25.0
11053,324.2106617647059,6.0
11054,774.1954871060171,13.0
11055,664.540517078694,12.0
11056,342.15682564708976,6.0
11057,632.6159358047017,11.0
11058,287.4787993441796,5.0
11059,489.7212267958031,9.0
11060,1418.2464923747277,24.0
11061,751.0067497850388,13.0
11062,774.3437641041071,13.0
11063,265.39223649825783,5.0
11064,1216.1188243911372,21.0
11065,596.8080180799843,10.0
11066,1084.3222099447514,19.0
11067,332.1160517445568,6.0
11068,989.2028402366863,17.0
11069,1223.4192618806874,21.0
11070,371.3057541072958,7.0
11071,859.853087613293,15.0
11072,226.97798945398876,4.0
11073,776.3161233480176,13.0
11074,1285.2959313536444,22.0
11075,,
11076,627.4647301194891,11.0
11077,218.0339994740994,4.0
11078,345.4071298451573,6.0
11079,901.1132436627004,16.0
11080,347.0309364099812,6.0
11081,1703.6824348958335,29.0
11082,984.2417393976647,17.0
11083,608.4498444521258,11.0
11084,276.66292881278275,5.0
11085,197.10957560454503,4.0
11086,1354.6521978021979,23.0
11087,1172.3737021013599,20.0
11088,904.2875756537626,16.0
11089,566.6134517374518,10.0
11090,1038.4155043719343,18.0
11091,1688.366909178126,29.0
11092,1226.2873708091756,21.0
11093,642.9623463446194,11.0
11094,914.2328151566676,16.0
11095,800.3676678089095,14.0
11096,995.5449720670391,17.0
11097,340.34758620689655,6.0
11098,2752.388929146538,46.0
11099,865.3290104101342,15.0
11100,262.7006351039261,5.0
11101,353.8355634218289,6.0
11102,460.07821612349915,8.0
11103,1249.3761369716426,21.0
11104,852.8052016498626,15.0
11105,602.7700198746369,11.0
11106,710.5167533936651,12.0
11107,1283.9234580084872,22.0
11108,345.5404252419245,6.0
11109,1292.9376147943137,22.0
11110,1379.0732843955066,23.0
11111,421.5081507549097,8.0
11112,433.3436037829766,8.0
