SA2_5DIG,shortest_time_sec,closest_hospital_IDs,closest_hospital_distances
11007,1143.589117043121,99;53;695;93;332,1147.601232032854;4303.012397330595;4544.503978439425;4684.579620123203;4732.779620123203
11008,374.55953792185795,695;102;606;864;152,374.55953792185795;1022.2892343050682;1037.1892343050683;1053.6892343050683;1142.4892343050683
11009,202.83563991523084,695;102;606;864;152,202.83563991523084;871.2869529162444;886.1869529162443;902.6869529162443;991.4869529162446
11010,272.3847457627118,695;102;606;864;152,272.3847457627118;1077.434400502197;1092.3344005021972;1108.8344005021972;1192.374011299435
11011,1693.4386208937556,695;102;606;864;152,1759.8287599881621;2328.1674341521157;2343.0674341521158;2349.9580822728617;2439.485770938147
11012,595.7134151167393,695;102;606;864;152,595.7134151167393;974.8935496636327;989.7935496636328;991.7910407597941;1124.6857617728533
11013,716.4720465890183,85;234;657;205;62,1078.2888935108151;2521.0665141430945;4765.378078202994;5089.053535773711;5386.6279118136445
11014,235.15194882475453,205;85;864;102;606,235.15194882475453;4745.794361797085;5246.695418030348;5265.295418030348;5280.195418030348
11015,2174.052518203883,205;85;864;102;606,2174.052518203883;5998.217718446603;6354.43182645631;6373.031826456311;6387.93182645631
11016,3323.930344033396,205;85;864;102;606,3323.930344033396;7460.504505541961;8408.068734705628;8426.668734705629;8441.568734705628
11017,437.36019906928647,53;557;570;918;552,437.36019906928647;995.5364917269908;1910.683919338159;2698.468420372286;3175.468420372286
11018,588.1851522079172,53;557;570;918;552,604.917687402238;977.4529178197569;1707.503573577187;3169.955288172302;3646.955288172302
11019,547.1833114636765,62;763;657;85;570,582.578539902183;633.5429917690565;1766.641977812239;5087.50009543123;6272.707741858523
11020,1695.3505125284737,62;763;657;85;205,2086.1367539863327;2260.7518564920274;2434.447892938497;5049.819134396355;6737.358132118451
11021,577.5414877532507,557;570;53;918;552,577.5414877532507;1030.1483822195341;1112.7909888116117;3611.1909888116115;4088.1909888116115
11022,5796.757692307693,570;557;53;62;763,6331.5192307692305;6863.615384615385;7260.326923076923;8562.55;8761.150000000001
11023,1131.6105834885166,657;62;763;85;234,1131.6105834885166;2712.1105834885166;2868.510583488516;4768.965797641217;6989.265797641217
11024,1221.9866342648845,557;570;53;918;552,1719.074453219927;1787.9874544349937;1932.4632442284326;4171.89702308627;4644.233171324423
11025,657.5106837204928,657;62;763;85;234,657.5106837204928;1779.3186965108623;1852.59006865419;4630.394733377222;6850.694733377221
11026,732.5419310344828,570;557;53;918;552,732.5419310344828;1476.494407523511;1990.3966896551724;4488.796689655172;4965.796689655172
