SA2_5DIG,SA2_name,SA2_area,SA2_population,SA2_population_percentage,SA2_population_density
11007,Braidwood,3418.3525,4330.0,0.016856067750336646,1.3
11008,Karabar,6.9825,8546.0,0.03326834988322794,1223.9
11009,Queanbeyan,4.762,11370.0,0.04426177605573387,2387.7
11010,Queanbeyan - East,13.0032,5093.0,0.019826317102185805,391.7
11012,Queanbeyan West - Jerrabomberra,13.6748,12743.0,0.049606667746545006,931.9
11011,Googong,6.9164,6245.0,0.024310887552159894,902.9
11011,Queanbeyan Surrounds,3047.7057,16523.0,0.06432166453552249,5.4
11013,Bombala,3990.144,2449.0,0.009533605062488324,0.6
11014,Cooma,103.6371,6760.0,0.026315708543250747,65.2
11015,Cooma Surrounds,6251.0158,3460.0,0.013469282775095796,0.6
11016,Jindabyne - Berridale,3939.7888,8044.0,0.031314136023951035,2.0
11017,Batemans Bay,63.7073,8587.0,0.03342795699125652,134.8
11018,Batemans Bay - South,30.5948,8905.0,0.034665885292551456,291.1
11019,Bega - Tathra,183.8984,8846.0,0.03443620677124202,48.1
11020,Bega-Eden Hinterland,4709.8265,9527.0,0.037087241907033996,2.0
11021,Broulee - Tomakin,24.2329,3771.0,0.014679961082337064,155.6
11022,Deua - Wadbilliga,2781.9988,41.0,0.00015960710802859177,
11023,Eden,94.8138,3409.0,0.013270747104133401,36.0
11024,Eurobodalla Hinterland,1460.0118,3522.0,0.013710639865285371,2.4
11025,Merimbula - Tura Beach,97.3395,11425.0,0.04447588315186978,117.4
11026,Moruya - Tuross Head,165.4118,8556.0,0.033307278446161735,51.7
11027,Narooma - Bermagui,252.652,9828.0,0.038258991651341466,38.9
11539,Goulburn,64.7865,24683.0,0.09608737188950563,381.0
11540,Goulburn Surrounds,9035.1222,13788.0,0.053674702573127404,1.5
11541,Yass,99.7341,6759.0,0.02631181568695736,67.8
11542,Yass Surrounds,5680.5696,12670.0,0.049322489237128245,2.2
11543,Young,505.753,10989.0,0.04277859780795598,21.7
11544,Young Surrounds,5849.8086,7653.0,0.029792029213239337,1.3
11028,Avoca Beach - Copacabana,6.4376,7530.0,0.029313207889153564,1169.7
11029,Box Head - MacMasters Beach,32.0802,11052.0,0.04302384775443894,344.5
11030,Calga - Kulnura,767.9512,4748.0,0.018483281680969604,6.2
11031,Erina - Green Point,33.7934,14803.0,0.057625951710908396,438.0
11032,Gosford - Springfield,16.9123,21346.0,0.08309691043849561,1262.2
11033,Kariong,8.3063,6518.0,0.02537363732025271,784.7
11034,Kincumber - Picketts Valley,11.7169,7628.0,0.02969470780590483,651.0
11035,Narara,7.7021,7191.0,0.027993529605697644,933.6
11036,Niagara Park - Lisarow,16.7316,8237.0,0.03206545728857343,492.3
11037,Point Clare - Koolewong,6.7794,6575.0,0.025595530128975388,969.8
11038,Saratoga - Davistown,4.7683,7179.0,0.027946815330177087,1505.6
11039,Terrigal - North Avoca,10.4791,14890.0,0.057964630208432476,1420.9
11040,Umina - Booker Bay - Patonga,25.2285,24853.0,0.09674915745938027,985.1
11041,Wamberal - Forresters Beach,13.7221,10691.0,0.04161852663252866,779.1
11042,Woy Woy - Blackwall,17.3963,14402.0,0.0560649163372629,827.9
11043,Wyoming,8.381,11457.0,0.04460045455325795,1367.0
11044,Bateau Bay - Killarney Vale,10.8595,22986.0,0.08948119475963928,2116.7
11045,Blue Haven - San Remo,20.9795,11389.0,0.0443357403253081,542.9
11046,Budgewoi - Buff Point - Halekulani,9.3297,9788.0,0.03810327739960625,1049.1
11047,Chittaway Bay - Tumbi Umbi,24.4986,16072.0,0.06256598634720799,656.0
11048,Gorokan - Kanwal - Charmhaven,11.249,22585.0,0.08792015938599379,2007.7
11049,Jilliby - Yarramalong,346.7662,3428.0,0.013344711373707626,9.9
