SA2_CODE_2016,SA2_5DIG16,AREA_SQKM,NR_OF_PEOPLE_2016,NR_OF_PEOPLE_2016_%,POPULATION_DENSITY_2016
101021007,11007,3418.4,3945,0.02,1.1540486777439738
101021008,11008,7.0,8615,0.04,1230.7142857142858
101021009,11009,4.8,11235,0.05,2340.625
101021010,11010,13.0,5049,0.02,388.38461538461536
101021011,11011,3054.4,17435,0.07,5.708158721843897
101021012,11012,13.7,13193,0.05,962.992700729927
101031013,11013,3989.4,2425,0.01,0.6078608312026871
101031014,11014,103.6,6890,0.03,66.5057915057915
101031015,11015,6250.9,3334,0.01,0.5333631956998193
101031016,11016,3939.5,7091,0.03,1.799974616068029
101041017,11017,63.7,7842,0.03,123.10832025117739
101041018,11018,30.6,8570,0.04,280.06535947712416
101041019,11019,183.9,8607,0.04,46.8026101141925
101041020,11020,4710.2,8961,0.04,1.9024669865398498
101041021,11021,24.2,3317,0.01,137.06611570247935
101041022,11022,2782.0,27,0.0,0.009705248023005032
101041023,11023,94.8,3281,0.01,34.60970464135021
101041024,11024,1460.0,3366,0.01,2.3054794520547945
101041025,11025,97.3,10835,0.04,111.35662898252826
101041026,11026,165.4,8096,0.03,48.94800483675937
101041027,11027,252.7,9171,0.04,36.29204590423427
101051539,11539,64.8,23320,0.1,359.87654320987656
101051540,11540,9035.1,12862,0.05,1.4235592301136677
101061541,11541,99.7,6656,0.03,66.76028084252758
101061542,11542,5680.9,11913,0.05,2.0970268795437343
101061543,11543,505.8,10802,0.04,21.356267299327797
101061544,11544,5849.8,7450,0.03,1.273547813600465
102011028,11028,6.4,7546,0.03,1179.0625
102011029,11029,32.1,10956,0.05,341.30841121495325
102011030,11030,768.0,4811,0.02,6.264322916666667
102011031,11031,33.8,14240,0.06,421.30177514792905
102011032,11032,16.9,19284,0.08,1141.0650887573966
102011033,11033,8.3,6559,0.03,790.2409638554216
102011034,11034,12.1,7429,0.03,613.9669421487604
102011035,11035,7.7,6829,0.03,886.8831168831168
102011036,11036,16.7,8202,0.03,491.1377245508982
102011037,11037,6.8,6329,0.03,930.7352941176471
102011038,11038,4.8,7142,0.03,1487.9166666666667
102011039,11039,10.1,13909,0.06,1377.1287128712872
102011040,11040,25.2,24037,0.1,953.8492063492064
102011041,11041,13.7,10146,0.04,740.5839416058394
102011042,11042,17.4,14181,0.06,815.0000000000001
102011043,11043,8.4,11657,0.05,1387.7380952380952
102021044,11044,10.9,22412,0.09,2056.146788990826
102021045,11045,21.0,11305,0.05,538.3333333333334
102021046,11046,9.4,9570,0.04,1018.0851063829787
102021047,11047,24.5,15714,0.06,641.3877551020408
102021048,11048,11.2,22489,0.09,2007.9464285714287
102021049,11049,346.8,3474,0.01,10.017301038062284
102021050,11050,35.5,10984,0.05,309.40845070422534
102021051,11051,114.1,4994,0.02,43.76862401402279
102021052,11052,9.2,5844,0.02,635.2173913043479
102021053,11053,13.9,15237,0.06,1096.1870503597122
102021054,11054,10.5,9966,0.04,949.1428571428571
102021055,11055,27.8,5469,0.02,196.72661870503597
102021056,11056,42.9,15573,0.06,363.006993006993
102021057,11057,15.0,9021,0.04,601.4
103011058,11058,119.5,24541,0.1,205.36401673640168
103011059,11059,94.0,11472,0.05,122.04255319148936
103011060,11060,3798.3,7017,0.03,1.8474054182134112
103011061,11061,2972.4,4753,0.02,1.5990445431301306
103021062,11062,15858.9,6803,0.03,0.4289704834509329
103021063,11063,242.2,9300,0.04,38.3980181668043
103021064,11064,3037.2,5542,0.02,1.8247069669432372
103021065,11065,4598.0,10394,0.04,2.260548064375816
103021066,11066,3294.1,3680,0.02,1.1171488418687958
103021067,11067,234.8,11258,0.05,47.947189097103916
103021068,11068,5418.2,3435,0.01,0.6339743826362999
103021069,11069,8317.5,6004,0.02,0.7218515178839796
103031070,11070,120.0,13095,0.05,109.125
103031071,11071,2514.1,8420,0.03,3.3491110138817075
103031072,11072,65.9,12010,0.05,182.24582701062215
103031073,11073,2852.1,3503,0.01,1.2282178044248098
103031074,11074,8043.9,10544,0.04,1.3108069468790016
103031075,11075,2448.7,0,0.0,0.0
103041076,11076,1642.7,7430,0.03,4.523041334388506
103041077,11077,45.2,19457,0.08,430.4646017699115
103041078,11078,99.5,20298,0.08,204.0
103041079,11079,4480.1,11806,0.05,2.6352090355126
104011080,11080,106.3,19075,0.08,179.444967074318
104011081,11081,8445.9,15446,0.06,1.8288163487609372
104011082,11082,711.0,16440,0.07,23.122362869198312
104021083,11083,1001.0,5936,0.02,5.93006993006993
104021084,11084,25.7,17902,0.07,696.5758754863814
104021085,11085,33.7,10535,0.04,312.61127596439167
104021086,11086,363.9,3862,0.02,10.612805715856005
104021087,11087,1987.7,3253,0.01,1.6365648739749459
104021088,11088,57.7,9010,0.04,156.1525129982669
104021089,11089,118.2,19947,0.08,168.75634517766497
104021090,11090,108.4,4758,0.02,43.8929889298893
104021091,11091,270.2,12740,0.05,47.15025906735752
105011092,11092,56843.7,4223,0.02,0.07429143423105815
105011093,11093,45551.4,4772,0.02,0.10476077573905522
